ID,website,email_1,email_2,email_3,email_4,email_5,email_6,email_7,email_8,email_9,category_1,category_10,category_11,category_12,category_13,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9
1,https://kssn.iheart.com,**@******.***,,,,,,,,,Womens Issues (Feminism),,,,, Social Issues/Wage Gap, Womens Interests,,,,,,
2,https://www.92q.com,*****@******.***,,,,,,,,,Womens Issues (Feminism),,,,, Social Issues/Wage Gap, Womens Interests,,,,,,
3,https://elvacilon.com,**@***********.**,*******@****-*****.***,,,,,,,,,,,,,,,,,,,,
4,https://www.streetz1033.com,******.*****@***-***.**,,,,,,,,,,,,,,,,,,,,,
5,https://www.z90.com/dj/morton-in-the-morning,******.*******@**********.***,,,,,,,,,,,,,,,,,,,,,
6,https://www.ks95.com/morning-show,*****@**************.***,,,,,,,,,,,,,,,,,,,,,
7,,******@*********.**,,,,,,,,,,,,,,,,,,,,,
8,https://1065.iheart.com/articles/1065-info-415520/where-do-you-listen-to-woody-15181792,******.***@***************.***,,,,,,,,,,,,,,,,,,,,,
9,https://www.1077theend.com,****@*2*2.**,,,,,,,,,,,,,,,,,,,,,
10,https://www.q92country.com,*************@***********.***,,,,,,,,,,,,,,,,,,,,,
11,https://www.wtsp.com,*******@************.***,,,,,,,,,,,,,,,,,,,,,
12,https://www.ksne.com,**@*********-********.***,,,,,,,,,,,,,,,,,,,,,
13,https://www.q1021.fm,************@*****.***,,,,,,,,,,,,,,,,,,,,,
14,https://www.purerock96.com,******@*************.***,,,,,,,,,,,,,,,,,,,,,
15,https://www.purerock96.com,*****.*******@***.**,,,,,,,,,,,,,,,,,,,,,
16,https://wbckfm.com,*****.******@************.***,,,,,,,,,,,,,,,,,,,,,
17,https://www.channel941.com,**********@*************.***,,,,,,,,,,,,,,,,,,,,,
18,https://oldschool955.com,********@**********.***,,,,,,,,,,,,,,,,,,,,,
19,https://www.hot1041stl.com,******@*************.***,,,,,,,,,,,,,,,,,,,,,
20,https://www.hot105fm.com,*****.********@********.***,,,,,,,,,,,,,,,,,,,,,
21,https://www.b105.com/thebigdaveshow,*************@**********.***,,,,,,,,,,,,,,,,,,,,,
22,https://www.rickeysmileymorningshow.com,*******@***.***,,,,,,,,,,,,,,,,,,,,,
23,https://kissfmseattle.iheart.com/onair/bender-molly-43930/,********@*******************.***,,,,,,,,,,,,,,,,,,,,,
24,,******@******.**,,,,,,,,,,,,,,,,,,,,,
25,https://wckf100.com,******@***.***,,,,,,,,,,,,,,,,,,,,,
26,https://www.965thebuzz.com/shows/afentras-big-fat-morning-buzz,********@************.***,,,,,,,,,,,,,,,,,,,,,
27,https://1029thelake.iheart.com,*****@*******.***,,,,,,,,,,,,,,,,,,,,,
28,https://channel961.iheart.com,**@***************.***,,,,,,,,,,,,,,,,,,,,,
29,https://b987fm.com,******.*******@*****.***,,,,,,,,,,,,,,,,,,,,,
30,https://kcdq.com,*********@*****************.***,,,,,,,,,,,,,,,,,,,,,
31,https://www.kcdx.com,******@*****.***,,,,,,,,,,,,,,,,,,,,,
32,https://www.wnci.com,*****3@********.***,,,,,,,,,,,,,,,,,,,,,
33,https://www.oldies933fm.com,******@********.***,,,,,,,,,,,,,,,,,,,,,
34,https://www.thebeat1067.com/main.html,*********@***********.***,,,,,,,,,,,,,,,,,,,,,
35,https://www.thexcolumbus.com/main.html,*********.*********@******.***,,,,,,,,,,,,,,,,,,,,,
36,https://www.991thefox.com,***@**.**,,,,,,,,,,,,,,,,,,,,,
37,https://www.sunnycountry.com,****@************.***,,,,,,,,,,,,,,,,,,,,,
38,https://www.ksly.com,*****@***.**,****@*****.**,,,,,,,,,,,,,,,,,,,,
39,https://www.newrock1073.com,*****@***********.***,,,,,,,,,,,,,,,,,,,,,
40,,******@***************.***,,,,,,,,,,,,,,,,,,,,,
41,https://www.1240ksma.com,***.*@****.***,,,,,,,,,,,,,,,,,,,,,
42,https://www.1025thegame.com,*********@*****************.**,,,,,,,,,,,,,,,,,,,,,
43,https://www.wbut.com,******.*********@**********.**,,,,,,,,,,,,,,,,,,,,,
44,https://knoxtalkradio.com,********@*************.***,,,,,,,,,,,,,,,,,,,,,
45,,*****@***********.***,,,,,,,,,,,,,,,,,,,,,
46,https://1073docfm.com,***@************.***,,,,,,,,,,,,,,,,,,,,,
47,https://www.1330weby.com,*******.*********@2********.***,,,,,,,,,,,,,,,,,,,,,
48,https://wbgo.org/programs/afternoon-jazz#stream/,***.****@***-***.***,,,,,,,,,,,,,,,,,,,,,
49,https://info.kwwr.com,*****@************.**,,,,,,,,,,,,,,,,,,,,,
50,https://kxeo.com,****@****.***,,,,,,,,,,,,,,,,,,,,,
51,https://www.babyfirsttv.com,****@**********.***,,,,,,,,,,,,,,,,,,,,,
52,https://www.kymsradio.com,********@****************.***,,,,,,,,,,,,,,,,,,,,,
53,,******@**********.***,,,,,,,,,,,,,,,,,,,,,
54,https://www.bigstoneradio.com,****.**********@**********.***,,,,,,,,,,,,,,,,,,,,,
55,https://summerdashe.com,*****@*****.***,,,,,,,,,,,,,,,,,,,,,
56,https://www.ktao.com,*******@*********.***,,,,,,,,,,,,,,,,,,,,,
57,https://www.wtsp.com,******@*********.***,,,,,,,,,,,,,,,,,,,,,
58,https://www.kcra.com/,******@******.***,,,,,,,,,,,,,,,,,,,,,
59,https://www.kcra.com/,******@*****.***,,,,,,,,,,,,,,,,,,,,,
60,https://www.kcra.com/,***@*********.**,,,,,,,,,,,,,,,,,,,,,
61,https://www.wicz.com,*******@*********.***,,,,,,,,,,,,,,,,,,,,,
62,https://www.foodnetwork.com/diners-drive-ins-and-dives,*****.**********@*******.***,,,,,,,,,,,,,,,,,,,,,
63,,*******@*******-*******.***,,,,,,,,,,,,,,,,,,,,,
64,https://washington.cbslocal.com/category/grant-danny,******@*********.**.**,,,,,,,,,,,,,,,,,,,,,
65,https://www.kvon.com,****.******@***-***.***,,,,,,,,,,,,,,,,,,,,,
66,https://www.993thevine.com,******@**************.***,,,,,,,,,,,,,,,,,,,,,
67,https://espnradio1300.iheart.com,*******@*****.***,,,,,,,,,,,,,,,,,,,,,
68,https://960weli.iheart.com,******@**********.***,,,,,,,,,,,,,,,,,,,,,
69,https://newsradio1410.iheart.com,*****@***************.***,,,,,,,,,,,,,,,,,,,,,
